DATA,,,,,,
key,data,,,,,
token_name,Bonfida,,,,,
token_symbol,FIDA,,,,,
start_date,31/12/2020,,,,,
start_tokens,1000000000,,,,,
emission_schedule,1D,,,,,
emission_type,linear_unlock,,,,,
emission_incentive,,,,,,
DISTRIBUTION,,,,,,
entity,Seed,Liquidity,IEO,Serum Ecosystem Incentives,Team,Bonfida Foundation
type,percentage,percentage,percentage,percentage,percentage,percentage
group,investors,ecosystem,public,ecosystem,team_advisors,foundation
emission,unlock,unlock,unlock,unlock,unlock,unlock
t464,0.8129562044,2,0.6,2.722627737,0.9032846715,6.178467153
t465,0.8211678832,2,0.6,2.729927007,0.9124087591,6.240875912
t466,0.829379562,2,0.6,2.737226277,0.9215328467,6.303284672
t467,0.8375912409,2,0.6,2.744525547,0.9306569343,6.365693431
t468,0.8458029197,2,0.6,2.751824818,0.9397810219,6.42810219
t469,0.8540145985,2,0.6,2.759124088,0.9489051095,6.490510949
t470,0.8622262774,2,0.6,2.766423358,0.9580291971,6.552919708
t471,0.8704379562,2,0.6,2.773722628,0.9671532847,6.615328467
t472,0.878649635,2,0.6,2.781021898,0.9762773723,6.677737226
t473,0.8868613139,2,0.6,2.788321168,0.9854014599,6.740145985
t474,0.8950729927,2,0.6,2.795620438,0.9945255474,6.802554745
t475,0.9032846715,2,0.6,2.802919708,1.003649635,6.864963504
t476,0.9114963504,2,0.6,2.810218978,1.012773723,6.927372263
t477,0.9197080292,2,0.6,2.817518248,1.02189781,6.989781022
t478,0.927919708,2,0.6,2.824817518,1.031021898,7.052189781
t479,0.9361313869,2,0.6,2.832116788,1.040145985,7.11459854
t480,0.9443430657,2,0.6,2.839416058,1.049270073,7.177007299
t481,0.9525547445,2,0.6,2.846715328,1.058394161,7.239416058
t482,0.9607664234,2,0.6,2.854014599,1.067518248,7.301824818
t483,0.9689781022,2,0.6,2.861313869,1.076642336,7.364233577
t484,0.977189781,2,0.6,2.868613139,1.085766423,7.426642336
t485,0.9854014599,2,0.6,2.875912409,1.094890511,7.489051095
t486,0.9936131387,2,0.6,2.883211679,1.104014599,7.551459854
t487,1.001824818,2,0.6,2.890510949,1.113138686,7.613868613
t488,1.010036496,2,0.6,2.897810219,1.122262774,7.676277372
t489,1.018248175,2,0.6,2.905109489,1.131386861,7.738686131
t490,1.026459854,2,0.6,2.912408759,1.140510949,7.801094891
t491,1.034671533,2,0.6,2.919708029,1.149635036,7.86350365
t492,1.042883212,2,0.6,2.927007299,1.158759124,7.925912409
t493,1.051094891,2,0.6,2.934306569,1.167883212,7.988321168
t494,1.059306569,2,0.6,2.941605839,1.177007299,8.050729927
t495,1.067518248,2,0.6,2.948905109,1.186131387,8.113138686
t496,1.075729927,2,0.6,2.95620438,1.195255474,8.175547445
t497,1.083941606,2,0.6,2.96350365,1.204379562,8.237956204
t498,1.092153285,2,0.6,2.97080292,1.21350365,8.300364964
t499,1.100364964,2,0.6,2.97810219,1.222627737,8.362773723
t500,1.108576642,2,0.6,2.98540146,1.231751825,8.425182482
t501,1.116788321,2,0.6,2.99270073,1.240875912,8.487591241
t502,1.125,2,0.6,3,1.25,8.55
t503,1.133211679,2,0.6,3.00729927,1.259124088,8.612408759
t504,1.141423358,2,0.6,3.01459854,1.268248175,8.674817518
t505,1.149635036,2,0.6,3.02189781,1.277372263,8.737226277
t506,1.157846715,2,0.6,3.02919708,1.28649635,8.799635036
